weekNum,gameTimeEastern,homeID,homeTeam,visitorID,visitorTeam
"1","2010-09-09 20:30:00","NO","Saints","MIN","Vikings",
"1","2010-09-12 13:00:00","BUF","Bills","MIA","Dolphins",
"1","2010-09-12 13:00:00","CHI","Bears","DET","Lions",
"1","2010-09-12 13:00:00","TEN","Titans","OAK","Raiders",
"1","2010-09-12 13:00:00","NE","Patriots","CIN","Bengals",
"1","2010-09-12 13:00:00","NYG","Giants","CAR","Panthers",
"1","2010-09-12 13:00:00","PIT","Steelers","ATL","Falcons",
"1","2010-09-12 13:00:00","TB","Buccaneers","CLE","Browns",
"1","2010-09-12 13:00:00","JAX","Jaguars","DEN","Broncos",
"1","2010-09-12 13:00:00","HOU","Texans","IND","Colts",
"1","2010-09-12 16:15:00","STL","Rams","ARI","Cardinals",
"1","2010-09-12 16:15:00","PHI","Eagles","GB","Packers",
"1","2010-09-12 16:15:00","SEA","Seahawks","SF","49ers",
"1","2010-09-12 20:20:00","WAS","Redskins","DAL","Cowboys",
"1","2010-09-13 19:00:00","NYJ","Jets","BAL","Ravens",
"1","2010-09-13 22:15:00","KC","Chiefs","SD","Chargers",
"2","2010-09-19 13:00:00","ATL","Falcons","ARI","Cardinals",
"2","2010-09-19 13:00:00","CIN","Bengals","BAL","Ravens",
"2","2010-09-19 13:00:00","CLE","Browns","KC","Chiefs",
"2","2010-09-19 13:00:00","DAL","Cowboys","CHI","Bears",
"2","2010-09-19 13:00:00","DET","Lions","PHI","Eagles",
"2","2010-09-19 13:00:00","GB","Packers","BUF","Bills",
"2","2010-09-19 13:00:00","TEN","Titans","PIT","Steelers",
"2","2010-09-19 13:00:00","MIN","Vikings","MIA","Dolphins",
"2","2010-09-19 13:00:00","CAR","Panthers","TB","Buccaneers",
"2","2010-09-19 16:05:00","DEN","Broncos","SEA","Seahawks",
"2","2010-09-19 16:05:00","OAK","Raiders","STL","Rams",
"2","2010-09-19 16:15:00","NYJ","Jets","NE","Patriots",
"2","2010-09-19 16:15:00","SD","Chargers","JAX","Jaguars",
"2","2010-09-19 16:15:00","WAS","Redskins","HOU","Texans",
"2","2010-09-19 20:20:00","IND","Colts","NYG","Giants",
"2","2010-09-20 20:30:00","SF","49ers","NO","Saints",
"3","2010-09-26 13:00:00","KC","Chiefs","SF","49ers",
"3","2010-09-26 13:00:00","MIN","Vikings","DET","Lions",
"3","2010-09-26 13:00:00","NE","Patriots","BUF","Bills",
"3","2010-09-26 13:00:00","NO","Saints","ATL","Falcons",
"3","2010-09-26 13:00:00","NYG","Giants","TEN","Titans",
"3","2010-09-26 13:00:00","TB","Buccaneers","PIT","Steelers",
"3","2010-09-26 13:00:00","CAR","Panthers","CIN","Bengals",
"3","2010-09-26 13:00:00","BAL","Ravens","CLE","Browns",
"3","2010-09-26 13:00:00","HOU","Texans","DAL","Cowboys",
"3","2010-09-26 16:05:00","STL","Rams","WAS","Redskins",
"3","2010-09-26 16:05:00","JAX","Jaguars","PHI","Eagles",
"3","2010-09-26 16:15:00","DEN","Broncos","IND","Colts",
"3","2010-09-26 16:15:00","ARI","Cardinals","OAK","Raiders",
"3","2010-09-26 16:15:00","SEA","Seahawks","SD","Chargers",
