gameID,weekNum,gameTimeEastern,homeID,homeScore,visitorID,visitorScore,overtime
1,1,9/8/16 20:30,DEN,,CAR,,
2,1,9/11/16 13:00,ATL,,TB,,
3,1,9/11/16 13:00,BAL,,BUF,,
4,1,9/11/16 13:00,HOU,,CHI,,
5,1,9/11/16 13:00,JAX,,GB,,
6,1,9/11/16 13:00,KC,,SD,,
7,1,9/11/16 13:00,NO,,OAK,,
8,1,9/11/16 13:00,NYJ,,CIN,,
9,1,9/11/16 13:00,PHI,,CLE,,
10,1,9/11/16 13:00,TEN,,MIN,,
11,1,9/11/16 16:05,SEA,,MIA,,
12,1,9/11/16 16:25,DAL,,NYG,,
13,1,9/11/16 16:25,IND,,DET,,
14,1,9/11/16 20:30,ARI,,NE,,
15,1,9/12/16 19:10,WAS,,PIT,,
16,1,9/12/16 22:20,SF,,LA,,
17,2,9/15/16 20:25,BUF,,NYJ,,
18,2,9/18/16 13:00,CAR,,SF,,
19,2,9/18/16 13:00,CLE,,BAL,,
20,2,9/18/16 13:00,DET,,TEN,,
21,2,9/18/16 13:00,HOU,,KC,,
22,2,9/18/16 13:00,NE,,MIA,,
23,2,9/18/16 13:00,NYG,,NO,,
24,2,9/18/16 13:00,PIT,,CIN,,
25,2,9/18/16 13:00,WAS,,DAL,,
26,2,9/18/16 16:05,ARI,,TB,,
27,2,9/18/16 16:05,LA,,SEA,,
28,2,9/18/16 16:25,DEN,,IND,,
29,2,9/18/16 16:25,OAK,,ATL,,
30,2,9/18/16 16:25,SD,,JAX,,
31,2,9/18/16 20:30,MIN,,GB,,
32,2,9/19/16 20:30,CHI,,PHI,,
33,3,9/22/16 20:25,NE,,HOU,,
34,3,9/25/16 13:00,BUF,,ARI,,
35,3,9/25/16 13:00,CAR,,MIN,,
36,3,9/25/16 13:00,CIN,,DEN,,
37,3,9/25/16 13:00,GB,,DET,,
38,3,9/25/16 13:00,JAX,,BAL,,
39,3,9/25/16 13:00,MIA,,CLE,,
40,3,9/25/16 13:00,NYG,,WAS,,
41,3,9/25/16 13:00,TEN,,OAK,,
